Date,Adj.Close,Volume,Open,High,Low
04/22/21,170.71,3856499.00,168.49,176.92,168.43
04/21/21,167.07,3878608.00,168.09,170.32,164.12
04/20/21,169.57,4574999.00,173.18,175.00,165.52
04/19/21,174.58,3125736.00,177.32,178.72,171.50
04/16/21,178.69,3058294.00,176.01,179.51,172.94
04/15/21,175.35,2894865.00,177.00,178.24,174.25
04/14/21,176.43,2938566.00,179.50,181.47,175.31
04/13/21,177.95,3573584.00,175.27,178.61,172.14
04/12/21,176.49,2619833.00,179.68,181.49,176.25
04/09/21,179.50,2910167.00,179.62,182.46,177.25
04/08/21,180.18,2625274.00,181.65,183.90,179.30
04/07/21,179.94,6663462.00,189.38,190.62,179.47
04/06/21,190.03,3565634.00,188.70,194.48,187.52
04/05/21,186.69,2591425.00,191.66,192.10,185.81
04/01/21,188.24,2921447.00,192.50,193.99,185.37
03/31/21,187.94,3079510.00,185.43,192.28,185.13
03/30/21,183.10,2903262.00,182.35,185.23,178.38
03/29/21,182.50,4508821.00,175.36,185.46,173.50
03/26/21,174.40,3562912.00,178.42,181.00,168.00
03/25/21,176.16,5264100.00,173.10,179.54,170.50
03/24/21,178.85,3756097.00,189.00,189.78,178.51
03/23/21,187.14,3460590.00,195.50,196.75,185.74
03/22/21,195.00,3740448.00,196.85,203.30,194.71
03/19/21,194.39,4444583.00,193.01,196.49,187.81
03/18/21,191.45,3729507.00,196.80,199.90,190.68
03/17/21,201.36,3781866.00,195.63,203.46,194.44
03/16/21,200.01,4605572.00,209.11,215.49,198.18
03/15/21,209.99,4337470.00,209.54,213.74,203.81
03/12/21,206.74,5556463.00,196.27,208.70,192.20
03/11/21,197.87,6031244.00,189.90,201.00,188.50
03/10/21,183.79,6145645.00,184.57,191.00,181.55
03/09/21,183.11,6079925.00,184.99,189.46,180.72
03/08/21,180.81,4988473.00,179.99,186.40,177.03
03/05/21,179.81,8788544.00,182.52,183.50,161.90
03/04/21,180.23,9993671.00,178.64,183.90,170.87
03/03/21,180.40,10592930.00,186.97,188.48,178.80
03/02/21,189.90,9144947.00,195.63,200.00,188.50
03/01/21,196.42,15798530.00,195.82,199.69,192.62
02/26/21,206.35,19368610.00,194.18,214.10,185.75
02/25/21,182.06,11568490.00,197.41,199.80,180.00
02/24/21,200.20,5983538.00,190.98,208.15,189.00
02/23/21,187.59,5902404.00,189.00,191.67,175.00
02/22/21,195.34,3674223.00,200.70,205.00,193.50
02/19/21,201.07,2605751.00,203.95,205.55,200.18
02/18/21,198.04,2791419.00,199.01,200.36,192.17
02/17/21,201.96,4090619.00,207.05,208.77,196.02
02/16/21,209.86,3487929.00,216.24,218.78,209.09
02/12/21,212.68,3041744.00,214.46,216.94,209.00
02/11/21,216.84,3595183.00,213.50,219.94,207.00
02/10/21,211.66,5257239.00,205.48,214.72,202.10
02/09/21,199.88,4725841.00,199.20,209.22,196.16
02/08/21,200.43,3492593.00,199.93,201.96,191.50
02/05/21,195.31,2869659.00,197.00,197.25,190.25
02/04/21,195.80,3637039.00,187.07,195.99,186.19
02/03/21,185.72,4168965.00,181.98,190.90,180.00
02/02/21,179.17,4413624.00,183.22,186.48,177.11
02/01/21,180.44,3877389.00,187.48,188.82,179.74
01/29/21,183.63,4529815.00,190.71,193.50,179.31
01/28/21,187.37,7077661.00,202.60,212.84,187.05
01/27/21,201.25,11019790.00,187.64,216.00,185.50
01/26/21,192.74,6460904.00,180.00,193.00,177.30
01/25/21,177.53,7472859.00,186.05,192.47,170.03
01/22/21,181.87,7136811.00,178.09,185.31,175.19
01/21/21,180.40,17618430.00,164.99,183.47,155.33
01/20/21,161.83,8517416.00,176.01,176.31,161.00
01/19/21,173.69,4685415.00,173.00,178.60,166.60
01/15/21,169.27,8575682.00,184.58,186.00,164.86
01/14/21,180.50,9926539.00,175.54,187.42,174.98
01/13/21,169.99,12529710.00,160.81,178.62,159.35
01/12/21,160.80,8145892.00,148.08,163.88,143.61
01/11/21,148.13,2801867.00,147.99,150.50,144.02
01/08/21,149.77,4615625.00,153.45,155.54,147.25
01/07/21,151.27,4482769.00,146.37,154.42,145.26
01/06/21,142.77,4213936.00,145.75,148.35,141.11
01/05/21,148.30,5974246.00,138.28,149.00,137.25
01/04/21,139.15,6409884.00,150.99,151.01,137.00
12/31/20,146.80,2795813.00,146.90,147.89,144.51
12/30/20,148.43,3462445.00,151.34,152.81,145.60
12/29/20,150.00,5402266.00,150.00,151.65,143.12
12/28/20,149.00,6229179.00,158.60,163.64,147.52
12/24/20,154.84,3621360.00,159.16,162.79,154.11
12/23/20,158.01,5852486.00,162.81,168.25,155.50
12/22/20,163.19,9886633.00,170.00,174.97,161.05
12/21/20,163.02,17788120.00,155.31,172.00,145.11
12/18/20,157.30,15954240.00,150.45,159.00,150.30
12/17/20,147.05,15054730.00,143.00,152.45,142.67
12/16/20,137.99,20409550.00,125.83,142.00,124.91
12/15/20,124.80,10914430.00,126.69,127.60,121.50
12/14/20,130.00,16966090.00,135.00,135.30,125.16
12/11/20,139.25,26980830.00,146.55,151.50,135.10
12/10/20,144.71,70447540.00,146.00,165.00,141.25
